Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
6590,Bachelor?€?s,Microsoft Products,"Logical thinking, Detail-oriented, Ability to take initiative",None,None,None
6591,"Bachelor?€?s, Master?€?s","ZEMAX, Matlab, Python","Strong ownership characteristics, Strong written and oral communicative skills",None,None,None
6592,"PhD, Bachelor?€?s","Python, C/C++",None,None,Experience with distribution system state estimation,None
6593,Bachelor?€?s,"Adobe Analytics, Adobe Target, Google Analytics, PowerBI, Tableau","Excellent verbal and written communication skills, Intellectual curiosity, Detail-oriented and analytical mindset",None,None,None
6594,None,Database concepts,"Strong attention to detail, Excellent written and verbal communication skills",None,None,None
6595,None,None,None,None,None,None
6596,None,"MS Office, Google Suite, Basecamp","Willingness to learn, Highly organized, Able to work collaboratively",None,None,None
6597,None,Microsoft Office Suite,"Strong problem-solving skills, Excellent written and oral communication skills",None,None,None
6598,None,None,None,None,None,None
6599,None,"Microsoft Office Suite, AutoCAD, MicroStation",None,None,None,2 years
6600,Bachelor?€?s,Microsoft Excel,"Strong analytical and research skills, Strong communication skills, Attention to detail",None,None,None
6601,Bachelor?€?s or Master?€?s,None,None,None,None,None
6602,MS or PhD,"Python, R",Ability to drive a project and work both independently and in a team,None,Applied Machine Learning experience,None
6603,None,None,"Team player, leadership, communication, integrity, self-motivated, organized",None,None,None
6604,None,None,"Competitive drive, attention to detail, love for research and writing",None,None,None
6605,Bachelor?€?s,None,"Ability to work on site, full-time availability",None,None,None
6606,Bachelor?€?s,"Python, JavaScript, Git","Problem-solving, debugging, teamwork",None,None,None
6607,None,"MS Office, SAP","Communication, priority and time management",French,None,None
6608,Undergraduate or graduate,None,"Team player, self-motivated, ability to take feedback",None,None,None
6609,None,None,Passionate about exploring new ideas,None,1-3 years of customer service and sales experience,1-3 years
6610,Post-secondary,None,"Communication, attention to detail, proactive, organized, teamwork, relationship-building",None,None,None
6611,Undergraduate or graduate,"AutoCAD, MicroStation","Learning commitment, communication, teamwork",None,Prior internships or applied academic coursework,None
6612,Bachelor?€?s,"Microsoft 365, Adobe Creative Suite, Articulate",Time management,None,"Experience with Microsoft 365, Adobe Creative Suite, Articulate",None
6613,"Bachelor?€?s, master?€?s, or doctorate",None,"Thrive in ambiguity, teamwork",None,3+ months of corporate function experience,3+ months
6614,Bachelor?€?s or higher,None,"Communication, problem-solving, reasoning, self-starter",None,Demonstrated knowledge of engineering principles,None
6615,PhD,None,"Deep thinker, interested in learning",None,None,None
6616,Bachelor?€?s,"Microsoft Windows, Office",Willingness to learn new technologies,None,General knowledge of accounting principles,None
6617,Bachelor?€?s or related,Microsoft Office Suite,"Problem-solving, analytical",None,None,None
6618,Bachelor?€?s or master?€?s,"Microsoft Word, Excel, Outlook","Communication, organizational, willingness to learn",None,None,None
6619,"BS, MS, or PhD","Python, C++, Java",None,None,Deep learning or prompt engineering experience,None
6620,None,None,Ability to learn and apply professional concepts,None,No Related Experience Required,None
6621,High School Diploma or GED,None,"Positive, enthusiastic, energetic, punctual",None,Working knowledge of health and fitness,None
6622,None,Figma,"Storytelling, curiosity about AI/ML",None,None,None
6623,Undergraduate or graduate,"Microsoft Office Suite, SharePoint","Communication, teamwork",None,None,None
6624,Bachelor?€?s,None,"Communication, interpersonal, teamwork, passion for technology",None,None,None
6625,None,None,None,None,None,None
6626,None,None,None,None,None,None
6627,Bachelor?€?s,None,Communication,None,None,None
6628,None,Microsoft Office,"Communication, attention to detail, problem-solving, enthusiastic",None,None,None
6629,High School Diploma,None,None,None,2-4 years of related experience,2-4 years
6630,None,Microsoft Excel,Communication,None,None,None
6631,None,None,"Professional communication skills, Presentation skills, Hardworking and enthusiastic, Team player attitude",None,None,None
6632,"Bachelor's, Master's, or PhD",None,"Excellent communication and analytical skills, Appetite for becoming autonomous quickly",None,None,None
6633,Diploma Program,None,"Exhibit a safety mindset, Must exhibit the TC Energy corporate values and incorporate them into work activities and initiatives: safety, responsibility, integrity, innovation and collaboration",None,None,None
6634,None,None,"Demonstrated ability to learn quickly and contribute in a collaborative environment, Strong communication skills, both written and verbal, Excellent attention to detail, time management, and problem-solving abilities, Self-motivated, able to work independently while being open to feedback",None,None,None
6635,Bachelor's Degree,None,"Excellent verbal and written communication skills needed to contribute within a team-oriented environment, Strong detail orientation and follow-through skills, Demonstrated ability to multi-task, Agility in an ever-changing environment",None,None,None
6636,None,None,"Strong organizational skills, Excellent communication skills, Ability to work independently and as part of a team, Interest in policy and regulatory affairs, Proficiency in event planning or management",None,None,None
6637,Bachelor's Degree,"HTML, CSS, JavaScript, React.js, Git",Strong problem-solving skills and attention to detail,None,None,None
6638,None,"SQL, Python",None,None,ETL practices experience,None
6639,None,Digital media,"Strong communication skills, Ability to work in a team environment, Willingness to learn",None,None,None
6640,Bachelor's degree,"Python, Golang, Java, C, C++, Spring, React.js, Node.js, Angular.js, Microsoft Office",None,None,Ability to obtain a Secret clearance,None
6641,Bachelor's or Master's,Basic HTML,"Strong organizational and time management skills, Ability to maintain confidentiality",None,None,None
6642,Bachelor's or Master's,"Google Sheets, Excel","Analytical mindset with the ability to draw insights from data, Detail-oriented and organized, with excellent project/time management skills",None,None,None
6643,Bachelor's or Master's,"Java, Scala, Node.Js, Rust",Strong analytical and problem-solving skills,None,None,None
6644,Associate degree,"AutoCAD, Microstation, Microsoft Word, Excel, Outlook",None,None,None,None
6645,Bachelor's,None,None,None,Travel to assigned client locations is required,None
6646,Bachelor's,"Hubspot, Canva","Strong verbal and written communication skills, Exceptional time management and organization, Quick learner who thrives in a fast-paced environment",None,None,None
6647,Law School,MS Office Suite,"Ability to solve problems and be detail-oriented, Outstanding interpersonal skills",None,None,None
6648,Bachelor's,None,Detail-oriented and proactive,None,Willing to verbally commit to a 6-month internship duration,None
6649,None,None,"Excellent verbal and written communication skills, Ability to speak effectively before groups of customers or employees of organization, Strong research and problem solving skills, Organized, with an ability to prioritize time-sensitive assignments",None,None,None
6650,Bachelor's or equivalent,None,"Creative thinking, Critical thinking",None,Typically between 4 - 6 years of relevant experience,4 - 6 years
6651,Master's or PhD,"Excel, JMP, Origin, Python, MATLAB","Creative thinker with good problem-solving abilities, Excellent communication and interpersonal skills",None,None,None
6652,Bachelor's,"UX/UI website design, MS Excel, MS Word",Strong academic track record,None,0-2 years recent public accounting experience,0-2 years
6653,Bachelor's or Master's,"Excel, Word, Powerpoint",None,Bilingual ability in Mandarin and English,None,None
6654,High School Diploma/GED or equivalent,"Revit, AutoCAD, Adobe Suite",Good communication skills,None,3 years of enrollment in post-secondary Interior Architecture or Interior Design program,3 years
6655,None,Microsoft Office,"Strong verbal and written communication skills, Strong analytical skills",None,None,None
6656,None,None,None,None,Must be enrolled in and have completed one year of an accredited Diagnostic Imaging program,1 year
6657,Bachelor's,None,None,None,None,None
6658,None,"Word, Excel, PowerPoint, Visio","Ability to work in a highly collaborative team environment, Strong organization skills and work ethic; detail oriented",None,None,None
6659,Bachelor's or Diploma,Python,"Strong analytical and research skills, Excellent written and oral communication skills",None,None,None
6660,None,None,"Advanced technical expertise, underwriting skills",None,"Experience should include ability to assess company financials, analyze stock metrics, manuscript forms and manage individual portfolios",None
6661,Bachelor?€?s,None,"Strong communication, presentation, and interpersonal skills",None,"Previous internship experience preferred, Proven leadership experience",None
6662,Bachelor?€?s or advanced degree,None,"Detail-oriented with strong organizational skills, Excellent communication and writing skills, An eagerness to learn, adapt, and take on new challenges",None,None,None
6663,Bachelor?€?s,"MS Excel, PowerPoint","Excellent written and verbal communication skills, Ability to work on a team",None,None,None
6664,None,None,Strong organizational and communication skills,None,None,None
6665,None,Microsoft Office Suite,"Effective communication and teamwork abilities, Ability to work independently and manage time effectively",None,None,None
6666,BA/BS or MS/MA,"Python, PyTorch, TensorFlow",Ability to effectively communicate,English,"Experience in data science, Machine Learning and AI",None
6667,BS,"Networking, virtualization, Linux, Windows systems","Excellent written and verbal communication skills, Strong analytical and investigative skills with attention to detail",None,Experience in mentoring individuals in cybersecurity subjects,None
6668,None,None,Flexibility to work on-site and remotely,None,None,None
6669,Currently enrolled or recent graduate,"Microsoft Excel, other office software",Excellent organizational and communication skills,None,None,None
6670,Currently enrolled or general knowledge through college degree,None,Effective verbal and written communication skills,None,None,None
6671,3+ years of study in related field,None,Willingness to work in a team,None,Hands-on experience with chemicals/safe chemical handling,None
6672,None,None,"Experience and ability to work with people from diverse backgrounds, Desire to teach nature-based programming in an outdoor setting, Proven interest in working with children",None,None,None
6673,Currently enrolled in Engineering program,"MS Office, analog and digital circuits","Strong creative, analytic, problem-solving, decision-making and collaboration skills, Strong oral and written communication skills",None,None,None
6674,Sophomore or Junior-status,None,"Professional communication and presentation skills, Hardworking and enthusiastic, Team player attitude, Ability to learn quickly",None,None,None
6675,Bachelor?€?s,"Excel, Word, Outlook, PowerPoint",None,None,Customer service experience,None
6676,Bachelor?€?s,None,"Limitless curiosity about business models and competitive dynamics, Passion for high quality work and continuous improvement, Excellent behavioral and communication skills",None,None,None
6677,"BS, MS, or PhD","Python, REST api calls, databases, containers, BI/Dashboarding tools",None,None,"Hands on experience to python coding, Background with deploying containers and databases",None
6678,BS,"Onshape, SolidWorks, Altium",None,None,Electrical Hardware troubleshooting experience,None
6679,Bachelor?€?s,Microsoft Office,Strong written and verbal communication skills,None,None,None
6680,Bachelor?€?s,Microsoft Suite,"Strong organizational skills and attention to detail, Excellent communication and interpersonal skills, Ability to work independently and as part of a team",None,None,None
6681,Two year I&E program or Electrical Engineering Technology,"CAD, MS Office Suite",Strong analytical and problem-solving skills with attention to detail,None,None,None
6682,None,None,"Strong customer service skills, Strong oral and written communication in English, Ability to receive direction and feedback, Open to professional development",English,None,None
6683,Associate?€?s or equivalent,None,Ability to work flexible hours which may include evenings and/or weekends,None,Experience relevant to the role of the position,None
6684,Currently enrolled in ACPE accredited college or school of pharmacy,None,Strong communication and presentation skills,None,0-3 years relevant work experience,0-3 years
6685,Bachelor?€?s,None,"Strong organizational, analytical, interpersonal, oral, and written communication skills, Creative thinker and self-starter, Enjoyment in learning and diving into the deepest levels of how things work, Comfortable working directly with a wide range of stakeholders",None,None,None
6686,Currently enrolled in ABET accredited program,None,None,None,None,None
6687,High School Diploma or GED,Basic computer skills,Strong written and verbal communication skills,None,None,None
6688,B.A. / B.S. degree or equivalent,None,None,None,Travel to assigned client locations is required,None
6689,Currently pursuing a degree,Microsoft Office Suite,"Strong written and verbal communication skills, Proven Leadership skills, Excellent organizational and time management abilities",None,None,None
6690,Currently pursuing a degree,"Python, R, Pandas, NumPy, Scikit-learn",Excellent problem-solving skills and attention to detail,None,None,None
6691,Current student or recent graduate in related field,Microsoft Office Suite,Eagerness to learn and grow,None,None,None
6692,None,"SIMS, XPS, EDS, AFM, SEM, TEM, XRR, FTIR, RBS","Collaborating with a wide variety of people, Strategic in planning",None,None,None
6693,Currently enrolled in a recognized college program,None,"Excellent communication, analytical, and problem-solving skills, Ability to work well in a team",None,None,None
6694,None,None,None,None,None,None
6695,"Ph.D. in computer science, electrical engineering, or related field","PyTorch, machine learning, computer vision, natural language processing",None,None,"Strong research experience, Experience in open-source deep learning frameworks, Experience in multi-modal large language models, Publications in top-tier conferences",None
6696,Doctorate (PharmD) from a Non-US accredited school of pharmacy,Microsoft Office Suite,Strong communication and presentation skills,None,None,None
6697,None,Machine Learning,"Strong written, verbal, and presentation skills, Ability to work in a fast paced environment",None,Experience in web design and development,None
6698,Undergrad or Grad program,None,None,None,None,None
6699,Bachelor?€?s or Master?€?s degree in a relevant discipline,None,"Advanced verbal and written communication skills, Ability to apply critical thinking skills and innovation",None,None,None
6700,"Pursuing a degree (BS, MS, or PhD) in Mechanical Engineering, Mechatronics, or a related field","CAD software (e.g., CREO, SolidWorks, Fusion 360)",None,None,"Experience with CAD software, Hands-on experience with prototyping and mechanical testing",None
6701,Graduate level law student or undergraduate rising junior/senior,"Lexis/Westlaw, Microsoft Office Suite","Superior research skills, Excellent writing and communication skills",None,None,None
6702,None,None,"Strong social networks, Creativity and ability to drive growth",None,None,None
6703,"M.S., Ph.D. candidate, or Post-doc in Computer Science, Electrical Engineering, or a related field","PyTorch, TensorFlow, Python, C++",None,None,"Research background in AI/Machine Learning, Computer Vision",None
6704,"Entering final year in an undergraduate degree program, Enrolled in a graduate degree program, Recent graduate of relevant degree program",None,Excellent communication and interpersonal skills,None,None,None
6705,"Pursuing a bachelor?€?s degree in mechanical engineering, aerospace engineering, chemical engineering, or a related technical field","Microsoft Excel, Power BI",Strong interpersonal skills,None,Experience working with datasets and data visualization,None
6706,High School Diploma (GED),None,"Strong written and verbal communication skills, Ability to manage multiple tasks with shifting priorities",None,None,None
6707,Current undergraduate rising Junior or Senior enrolled in an accredited college or university,None,"Resourceful, enthusiastic, and proactive, Strong written and verbal communication skills, Self-motivated with a strong work ethic",None,None,None
6708,"Pursuing a Bachelor?€?s or Master?€?s degree in mathematics, information science, data science, statistics, or similar major","Excel, Google Sheets",None,None,Experience with web research,None
6709,None,None,"Professionalism with clients and fans, Good communication skills, Ability to follow directions, Creative problem-solving skills",None,None,None
6710,"Completion of at least one to three years college credit toward a degree in accounting, or a combination of education and equivalent work experience","Excel, Word","Well-organized and self-motivated, Excellent communications skills",None,1 Year Part time work using math,1 Year
6711,None,None,"Self-starter with a drive for results and passion for growth, Proven ability to cultivate long-term partnerships",None,"Experience executing targeted campaigns, Track record of fostering partnerships",None
6712,"Currently enrolled in or a recent graduate of an undergraduate or graduate program in Business (Marketing, Communications, Commerce), Sport Management, or a related field","Microsoft Suite (Excel, Word, PowerPoint)","Strong verbal and written communication skills, Excellent organizational skills, Team-oriented with a strong desire to learn",None,None,None
6713,None,"React, GraphQL, CSS Modules","Creative problem-solving skills, Appreciation for a balance of strong convictions and pragmatic approaches",None,At least 6 months of educational or professional experience with front end engineering,6 months
6714,Pursuing a Bachelor?€?s degree,Microsoft Office,Strong verbal and written communication skills,None,None,None
6715,None,Microsoft Office,"Team player with collaborative skills, Positive attitude towards challenges",Advanced Portuguese and English,None,None
6716,Working towards a bachelor's degree in Accounting or Finance,Microsoft Windows and Office products,Willingness to learn new technologies,None,None,None
6717,Pursuing or recent graduate with a degree in Architecture or related field,"Revit, SketchUp","Detail-oriented, Organized",None,"Experience with 3-D scans, point clouds, and 3-models",None
6718,None,"Python, C/C++, Java, WebApps/JavaScript/AngularJS/React, AWS",Strong communication skills,None,Experience with object oriented programming,None
6719,"Studies must include, at minimum, 1 semester sales course (4 credits hours)",None,"Goal-oriented and effective time management skills, Strong customer interpersonal skills, Ability to meet and befriend cold call prospects",None,Former sales experience preferred,None
6720,"PhD in artificial intelligence, machine learning, computer science, or related field graduating between December 2025 and June 2026","Python, Java, GitHub, Spark, PyTorch","Excellent analytical, problem-solving, and communication skills",None,"Solid technical and programming skills, Familiarity with machine learning frameworks",None
6721,None,None,"Passion for customer service, Strong communication skills, Ability to work in a team, Willingness to learn",None,None,None
6722,None,None,Strong communication and presentation skills,None,0-3 years relevant work experience,0-3 years
6723,None,MS Office,"Excellent written and verbal communication skills, Strong organizational skills",None,None,None
6724,"Undergraduate or graduate degree in Software Engineering, Computer Science, or related field","Python, Adobe Acrobat automation","Strong problem-solving skills, Ability to work independently",None,None,None
6725,Bachelor?€?s or Master?€?s degree in relevant discipline,None,"Advanced verbal and written communication skills, Ability to apply critical thinking skills",None,None,None
6726,Bachelor?€?s or master?€?s degree in Civil or Structural engineering,"Open Roads, MicroStation","Strong interest in transportation engineering, Willingness to work in the office",None,Experience in the architecture/engineering/construction management industry,None
6727,None,"Microsoft Excel, Word, PowerPoint, Outlook","Ability to organize information, Effectively collaborate and work as a team",None,None,None
6728,"Bachelor?€?s Degree in Chemical, Mechanical, Electrical, or Industrial Engineering","MS Visio, AutoCAD",Problem solving and project management skills,None,None,None
6729,"Bachelor's degree in Event Management, Marketing, Business, or related field","Microsoft Office Suite (Word, Excel, PowerPoint)","Strong organizational and multitasking skills, Excellent communication and interpersonal skills, Creative thinking and problem-solving abilities",None,None,None
6730,Bachelor?€?s Degree in Civil or Mechanical Engineering or relevant majors,AutoCAD,"Have initiative, resiliency, and flexibility",None,Have experience/familiarity with AutoCAD,None
6731,None,None,"Strong work ethic, Organizational skills",None,None,None
6732,None,None,"Attentiveness to detail and organization, Strong team orientation and interpersonal skills, Excellent verbal and written communication skills",None,None,None
6733,"Nurse Practitioner License, Registered Nurse License or Physician Assistant",None,None,None,None,None
6734,"Bachelor?€?s degree in Digital Media, Marketing or related field",None,"Strong organizational skills and attention to detail, Excellent communication and collaboration skills, Ability to manage multiple projects and meet deadlines",None,None,None
6735,BSEE or MSEE,"Python, Oscilloscopes, Vector network analyzers, Spectrum analyzers",Must be an inquisitive problem solver and a proactive thinker,None,Some experience in using electronics test equipment,None
6736,ABET accredited engineering degree (Bachelors or Masters),None,None,None,None,None
6737,PharmD graduate of a U.S. accredited program,None,None,None,None,None
6738,Degree in Industrial Design or related field,None,"Strong creative skills, Ability to collaborate in a team environment",None,None,None
6739,"Engineering, Mechanical, Mechatronics student, or similar","Python, JavaScript, HTML, SQL, Windows OS, Linux OS, IIOT devices",Ability to multitask by handling diverse assignments concurrently,None,None,None
6740,"Undergraduate program in Business, Merchandising, Engineering, Marketing, or related field","Microsoft Excel, Outlook","Ability to work well both independently and in a team setting, Strong attention to detail, Excellent organization and time management skills",None,None,None
6741,BS candidate in Mechanical/Industrial engineering or similar field,"CAD software, SolidWorks, Excel, Minitab",None,None,"Experience in manufacturing automation, Experience with lab testing and metrology",None
6742,"Bachelor?€?s or Master?€?s degree in Business, Finance, Economics, or related field",Excel,"Excellent communication and presentation skills, Collaborative team player",None,None,None
6743,"Degree in relevant field (Data Science, Sustainability, etc.)","SQL, Tableau, Power BI, Monday.com, WordPress forms",Strong organizational and problem-solving skills,None,None,None
6744,None,Excel/Google Sheets,"Passionate about sports and teamwork, Proactive learner and hard worker, Strong time management skills",None,Experience in sales or customer success (preferred),None
6745,None,None,Demonstrated verbal and written communication skills,None,"Demonstrated mechanical, electrical or I&C experience",None
6746,"Degree in Engineering, Mechatronics, Manufacturing Engineering, Industrial Engineering, Engineering Technology, or related curriculum","Microsoft Excel, Microsoft Office","Willingness to learn, Good communication skills",None,None,None
6747,None,"Microsoft Office: Word, Excel, PowerPoint and Access","Strong organizational and interpersonal skills, Excellent oral and written communication skills, Strong analytical and financial analysis skills",None,Prior relevant work experience preferred,None
6748,"Graduate degree or higher in Software Engineering, Computer Science, Mechanical Engineering, or related program","C++, Python, CAD, Rhino, Blender, Maya, Unreal Engine",Excellent verbal communication and documentation skills,None,"Experience in C++ and Python, Experience with industrial design tools, Experience with computer graphics or video game development",None
6749,None,None,"Leadership skills, Effective communication skills, Ability to work independently and as part of a team",None,Previous retail experience preferred,None
6750,"Bachelor's degree in Mechanical Engineering, Mechatronics, Automation Engineering or similar",None,None,None,"Previous co-op or internship, Knowledge of manufacturing processes and principles",None
6751,Bachelor?€?s,"MS Word, Excel, AutoCAD, Civil 3D, MicroStation, ArcGIS",None,None,Experience,None
6752,Bachelor?€?s,spreadsheet software programs,Ability to travel,None,None,None
6753,Bachelor?€?s or Master?€?s,Matlab/Simulink,None,None,None,None
6754,Master?€?s,"Python, Google Cloud","Courage, Integrity, Respect, Collaboration",None,None,None
6755,Master?€?s,None,Good written and oral communication skills,None,Clinical interest,None
6756,DVM,None,None,None,None,None
6757,Bachelor?€?s,"Microsoft Excel, PowerPoint","Strong problem-solving skills, ability to work independently and collaboratively, excellent communication skills, proactive approach to teamwork",None,None,None
6758,Bachelor?€?s,"Microsoft Word, Excel, PowerPoint, Access","Excellent oral, written and interactive communication skills, effective research tactics, strong organization skills",None,None,None
6759,Bachelor?€?s,Microsoft Excel,None,None,None,None
6760,Bachelor?€?s,None,None,None,None,None
6761,"Bachelor?€?s, Master?€?s, or PhD","Python, Deep Learning, RAG, Neural Networks, Agents",None,None,Interest or experience,None
6762,Bachelor?€?s,None,None,None,None,None
6763,High School,None,None,None,None,None
6764,Bachelor?€?s,"Adobe Photoshop, Illustrator, Microsoft Office, Adobe suite",Advanced visual and written communication skills,None,None,None
6765,Bachelor?€?s or college diploma,"MS Office, Teams, SharePoint, Planner, Excel, Word","Strong organizational skills, attention to detail, eager to work and learn",None,Related work experience,None
6766,Bachelor?€?s,"C++, Rust, Python, ROS2",None,None,Experience,None
6767,Bachelor?€?s,"Java, Selenium, TestNG",Strong problem-solving skills,None,Basic programming experience,None
6768,Bachelor?€?s or Master?€?s,None,"Effective communication skills, strong desire to learn, positive attitude, ability to work in a team environment",None,None,None
6769,Bachelor?€?s,"Microsoft Office, Salesforce, JIRA",None,None,Experience,None
6770,Bachelor?€?s or Master?€?s,"C, C++",Good communication and collaboration skills,None,None,None
6771,None,None,"Good analytical skills, communication skills",None,1 to 2 years of experience,02-Jan
6772,MBA,None,"Strong work ethic, problem-solving skills, analytical skills, attention to detail, highly organized, high standard for excellence",None,None,None
6773,Bachelor?€?s,None,"Demonstrated ability to creatively deliver, genuine interest in manufacturing, thirst for learning",None,2+ years of experience,2+
6774,Bachelor?€?s or diploma,None,"Outstanding client service, commitment to teamwork, leadership skills, research, problem solving, analytical, writing and communication skills",None,None,None
6775,Bachelor?€?s or Master?€?s,None,None,None,None,None
6776,None,"Windows 10, PC hardware and peripherals",Customer service,None,Experience,None
6777,Bachelor?€?s,None,"Excellent written and verbal communication skills, passion for social media trends, comfortable with on-camera appearances","English, Mandarin",Proven experience,None
6778,Bachelor?€?s or Master?€?s,None,"Strong technical aptitude, effective verbal and written communication skills",None,None,None
6779,Bachelor?€?s or Master?€?s,None,"Highly organized, strong attention to detail, excellent written and verbal communication skills, ability to work collaboratively",None,None,None
6780,Bachelor?€?s or Master?€?s,"Excel, Minitab","Strong analytical and problem-solving skills, excellent communication and presentation skills, attention to detail",None,None,None
6781,None,None,"Ability to do logical or scientific thinking to solve problems, Ability to compose original correspondence and follow technical manuals, Ability to do arithmetic calculations involving arithmetic, algebraic and geometric calculations",None,Six months or less of similar or related work experience,None
6782,Bachelor?€?s,"AutoCad, Revit, MS Office Suite","Strong spatial perception and visualization skills, Strong computer skills",None,General understanding of engineering/construction documentation is preferred,None
6783,Bachelor?€?s,None,None,None,None,None
6784,Bachelor?€?s,"Excel, Microsoft Access","Organizational and communication skills, Ability to operate in a complex environment",None,None,None
6785,Bachelor?€?s,"Python, TensorFlow, PyTorch",Excellent communication skills,None,"Hands-on experience with AI model fine-tuning, prompt engineering, and deploying LLM-powered applications",None
6786,Bachelor?€?s,"Solidworks, Microsoft Office (Excel, Word, and Power Point)","Excellent analytical, problem solving, and organizational skills, Strong communication skills",None,None,None
6787,PharmD,None,Ability to complete required training within designated timeframe,None,"1+ years in pharmacy, retail, or customer service",1+ years
6788,None,"Java, Python, Amazon Web Services, Microsoft Azure, Google Cloud Platform","Individuals who work well with others, think outside the box and see raising the bar as part of the daily routine",None,Students who have experience with cloud environments,None
6789,None,Property Management Systems (Entrata preferred),"Exceptional written and verbal communicator, Meticulous detail orientation, Customer-centric mindset",None,1+ years?€? experience working at living communities/property management,1+ years
6790,None,Figma,None,None,"Experience with the fundamental principles of graphic design, Experience using design and prototyping tools like Figma",None
6791,Bachelor?€?s,"Microsoft Office Suite (Excel, Word, PowerPoint)","Strong organizational and communication skills with an eye for detail, Ability to handle sensitive information with confidentiality and professionalism, Desire to grow and learn in a fast-paced environment",None,None,None
6792,Bachelor?€?s,"Microsoft Office Products (Word, Outlook, Excel, and Teams)",Excellent written and oral communication skills,None,None,None
6793,Bachelor?€?s,None,None,None,None,None
6794,None,"Workday Student, Studio Integrations","Excellent verbal and written communication skills, Strong problem solving and critical thinking skills",None,3+ years deploying or supporting Workday Student,3+ years
6795,None,None,"Interpersonal, presentation, and communication skills to interact efficiently with various audiences",None,None,None
6796,Bachelor?€?s,"Python, C, C++",None,None,Prior experience with back-end or cloud development,None
6797,Bachelor?€?s,None,"Effective written and verbal communication skills, Ability to work independently and as part of a team",None,None,None
6798,Bachelor?€?s,None,None,None,None,None
6799,Bachelor?€?s,MS Office,None,None,None,None
6800,None,"MS Excel, MS Word",None,None,0-2 years public accounting experience,0-2 years
6801,Bachelor?€?s,None,Strong communication and interpersonal skills,None,None,None
6802,Bachelor?€?s,None,None,None,None,None
6803,Bachelor?€?s,None,"Resourceful, enthusiastic, and proactive, Demonstrated strong attention to detail, Strong written and verbal communication skills, Self-motivated with a strong work ethic",None,None,None
6804,Bachelor?€?s,None,None,None,None,None
6805,Bachelor?€?s,None,None,None,None,None
6806,None,None,None,None,None,None
6807,Bachelor?€?s,Microsoft Office Suite,Strong interest in transportation and infrastructure,None,None,None
6808,"PhD, PharmD, MD, MSc",None,"Good written and oral communication skills, Strong organizational and analytical skills, Ability to balance multiple on-going tasks",Bilingualism (French and English),None,None
6809,Bachelor?€?s,None,"Demonstrates innovative ideas, research strategies, and attention to detail, Able to work independently and effectively solve problems, Possesses exceptional written, verbal, and interpersonal communication skills, Capable of balancing academic and work responsibilities with strong time management skills",None,None,None
6810,Bachelor?€?s,"Adobe Creative Suite (Photoshop, InDesign, and Premiere or Final Cut)",None,None,"Experience/interest in jazz, classical music, Experience working in the Adobe Creative Suite",None
6811,Bachelor?€?s,None,"Public speaking, Verbal and written communication, Organizational skills, Attention to detail, Enthusiasm",None,None,None
6812,"Undergraduate, Masters, MBA",Excel,"Collaboration, Teamwork, Interpersonal, Communication, Project management, Time management",None,None,None
6813,Bachelor?€?s,"Microsoft Excel, Word, PowerPoint, Access","Interpersonal, Written communication",None,None,None
6814,"MS, PhD","Python, LaTeX, Git, SAM, RELAP",None,None,None,None
6815,Bachelor?€?s,"Java, Databases, AWS","Problem-solving, Teamwork",None,None,None
6816,None,"YouTube, Facebook, Instagram, TikTok, Snapchat","Interpersonal, Verbal and written communication, Analytical, Problem-solving",None,"Experience with short-form video platforms, Experience with researching and using tools",None
6817,Bachelor?€?s,Microsoft Office,Communication,None,None,None
6818,None,Core programming concepts,None,None,None,None
6819,High school diploma or equivalent GED,Power tools,"Communication, Teamwork",English,None,None
6820,"Bachelors, Masters",None,"Verbal and written presentation, Quota driven, Desire to succeed",None,Cold outreach experience,None
6821,Secondary education,"MS Office Suite, Modeling software",Communication,None,None,None
6822,Undergraduate,None,None,None,None,None
6823,Bachelor?€?s,"Microsoft Windows, Office products",Willingness to learn new technologies,None,None,None
6824,Undergraduate,None,"Research, Understanding policies, Interest in learning",None,None,None
6825,"Bachelor?€?s, Master?€?s","Microsoft Office, Canva",Organizational skills,None,Experience with social media management,None
6826,"Bachelor?€?s, Master?€?s",Spreadsheet software,"Written and verbal communication, Analytical",None,None,None
6827,Undergraduate,"Python, Automated testing, System monitoring","Communication, Collaboration",None,Experience working with data,None
6828,Undergraduate,None,"Analytical, Problem-solving, Communication, Attention to detail, Creativity, Quick learning",None,None,None
6829,"Masters, PhD","Python, R, C++","Analytical, Quantitative, Detail-oriented, Written and verbal communication",None,Demonstrated interest in financial markets,None
6830,None,None,"Practical skills, Hands-on experience",None,None,None
6831,Bachelor?€?s,"Microsoft Windows, Office products",Willingness to learn new technologies,None,None,None
6832,None,"C++, Python",Collaboration,None,Experience shipping products or features,None
6833,Bachelor?€?s,"MS Excel, ERP/MRP, PLM systems","Written and verbal communication, Analytical, Problem-solving",None,None,None
6834,Post-secondary,None,"Problem identification, Following instructions",None,None,None
6835,Undergraduate,"Microsoft Excel, SharePoint, Salesforce, Data analysis tools","Communication, Analytical, Observational",None,None,None
6836,"Bachelor?€?s, Master?€?s","Revit, Adobe Creative Suite, Microsoft Office",None,None,None,None
6837,None,Microsoft Office,"Organizational, Time management, Analytical, Problem-solving, Communication, Self-motivation",None,None,None
6838,None,None,None,None,0-1 years of experience in healthcare,0-1 years
